ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 344354	16.08; 12.2; 14.72	12.2; 14.72; 16.08	YE – YELLOW	OG – OBLONG		3 – MEDIUM	12			2		10	30			TN – TAN	V – VINE	3 – MEDIUM	
PI 344356	12.09; 24	12.09; 24	YE – YELLOW	OV – OVATE; GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	23			3	16	19	28		ST – STRIPED; MO – MOTTLED; SO – SOLID COLOR	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	
PI 344357	11.9; 17.87; 19	11.9; 17.87; 19	YE – YELLOW; OR – ORANGE	OG – OBLONG		1 – GOOD	16			2	25	9	33		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 344358	9.6; 11.2; 12.55	9.6; 11.2; 12.55	CR – CREAM; YE – YELLOW	OG – OBLONG	1 – SMOOTH	1 – GOOD	14			2	8	8	30		SO – SOLID COLOR	TN – TAN	V – VINE	1 – GOOD	
PI 344359	12.5; 15.44; 19.52	12.5; 15.44; 19.52	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			3	33	9	44		SP – SPECKLED; SO – SOLID COLOR	YE – YELLOW; GN – GREEN	B – BUSH	1 – GOOD	
PI 355054	17.42; 18.28; 19.9	17.42; 18.28; 19.9																	
PI 357873	13.83; 4.95; 7.9	4.95; 7.9; 13.83																	
PI 357892	9.35; 8.94	8.94; 9.35																	
PI 357893	8.72; 2.42; 7.425	2.42; 7.425; 8.72																	
PI 357921	13.93; 13.8; 10.99; 14	10.99; 13.8; 13.93; 14	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	12			2	30	9	38		MO – MOTTLED; ST – STRIPED	GN – GREEN; TN – TAN	S – SEMI-BUSH	1 – GOOD	
PI 357922	16.95; 12.19; 19.2; 11	11; 12.19; 16.95; 19.2	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	5 – POOR	13			3			40		MO – MOTTLED	GN – GREEN; YE – YELLOW	B – BUSH	5 – POOR	2
PI 357923	9.5; 11.1; 4.4	4.4; 9.5; 11.1	YE – YELLOW	OB – OBOVATE	4 – WARTY; 1 – SMOOTH	1 – GOOD	10			2	10	4	15		MO – MOTTLED; ST – STRIPED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 357924	16.76; 21.3	16.76; 21.3	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	13			3	23	8	50		SO – SOLID COLOR	TN – TAN	B – BUSH	1 – GOOD	1
PI 357925	17.32; 17.25; 17.99	17.25; 17.32; 17.99	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	15			3	35	9	53		SO – SOLID COLOR	CR – CREAM; TN – TAN	B – BUSH	1 – GOOD	2
PI 357926	20.98; 23.62	20.98; 23.62	OR – ORANGE	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	27			4	20	20	40		SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	3
PI 357927	35; 37.32; 30.54	21.6; 29.3; 29.402; 29.47; 30.54; 35; 37.32	OR – ORANGE; YE – YELLOW	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	20			3	12	12	20		ST – STRIPED; MO – MOTTLED; SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 357928	21.26; 15.15; 17.17; 18; 15.7	15.15; 15.7; 17.17; 18; 21.26	YE – YELLOW	GL – GLOBE	2 – RIBBED; 3 – WRINKLED	1 – GOOD	27			3	17	17	27		SP – SPECKLED	GN – GREEN	V – VINE	1 – GOOD	2
PI 357929	23.68; 20.6; 15.49; 19.62	15.49; 19.62; 20.6; 23.68	YE – YELLOW	GL – GLOBE	4 – WARTY; 2 – RIBBED	1 – GOOD	30			4	20	20	30		SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; TN – TAN; YE – YELLOW	V – VINE	1 – GOOD	3
PI 357930	18.28; 16; 20.6; 17.24	16; 17.24; 18.28; 20.6	OR – ORANGE	OV – OVATE	3 – WRINKLED; 2 – RIBBED	1 – GOOD	20			3	23	18	25		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	
PI 357931	5.76; 3.72; 4.82; 4.19	3.72; 4.19; 4.82; 5.76	WH – WHITE	OB – OBOVATE	1 – SMOOTH	1 – GOOD	7			1	6	4	12		ST – STRIPED	GN – GREEN; GY – GRAY; OR – ORANGE	V – VINE	1 – GOOD	
PI 357932	15.64; 19.26; 15.72; 16.84	15.64; 15.72; 16.84; 19.26	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	10			3	5		6		SO – SOLID COLOR	TN – TAN; YE – YELLOW	B – BUSH	1 – GOOD	
PI 357933	17	17	OR – ORANGE	GL – GLOBE	3 – WRINKLED; 4 – WARTY; 2 – RIBBED	1 – GOOD	23			4			20		SO – SOLID COLOR	GN – GREEN	V – VINE	1 – GOOD	3
PI 357934	21.9; 17.56; 11.14; 12.04	11.14; 12.04; 17.56; 21.9	OR – ORANGE; YE – YELLOW			3 – MEDIUM	25			4	16	20	20				V – VINE	3 – MEDIUM	2
PI 357935	17.08; 24.4	17.08; 24.4	OR – ORANGE; YE – YELLOW	GL – GLOBE	2 – RIBBED; 3 – WRINKLED; 4 – WARTY	1 – GOOD	24			4	13	14	22		SO – SOLID COLOR	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	3
PI 357936	27.64; 18	18; 27.64	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	23			2	12	14	17		ST – STRIPED; MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	1
PI 357937	18.38; 19.66	18.38; 19.66	YE – YELLOW; OR – ORANGE	GL – GLOBE	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	1 – GOOD	18			3	15	15	20		MO – MOTTLED; ST – STRIPED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	1
PI 357938	27.12; 19.52; 20.66; 19.67; 20.7; 26.85	19.52; 19.67; 20.66; 20.7; 26.85; 27.12	OR – ORANGE	GL – GLOBE	2 – RIBBED	1 – GOOD	25			3	25		30		MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	1 – GOOD	
PI 357939	19; 19.22; 18.47	18.47; 19; 19.22	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	1 – GOOD	24			3	20	20	24		MO – MOTTLED	GN – GREEN	V – VINE	1 – GOOD	2
PI 357940	15.71; 21.1; 25.94	15.71; 21.1; 25.94	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	5 – POOR	20			3			20		MO – MOTTLED	GN – GREEN	V – VINE	5 – POOR	
PI 357941	16.13; 13.36; 19.98	12.26; 13.36; 16.13; 19.98	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH; 4 – WARTY	1 – GOOD	12			3	37	10	50		SO – SOLID COLOR	TN – TAN	B – BUSH	1 – GOOD	2
PI 357942	22.05; 28.6	22.05; 28.6	OR – ORANGE	GL – GLOBE	4 – WARTY; 2 – RIBBED	1 – GOOD	24			5	20	20	24		SO – SOLID COLOR	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	3
PI 357943	22; 26.18	22; 26.18	OR – ORANGE	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	1 – GOOD	17			3	30	12	60		SO – SOLID COLOR	YE – YELLOW; TN – TAN; GN – GREEN	V – VINE	1 – GOOD	
PI 357944	21.96; 24.5	21.96; 24.5	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	1 – GOOD	24			3	14	15	17		SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	2
PI 357945	20.41; 28.07; 22.9	20.41; 22.9; 28.07	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	1 – GOOD	20			5	20	17	30		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	3
PI 357946	20.48; 22.72; 31.34; 30.35	20.48; 22.72; 30.35; 31.34	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	5 – POOR	16			4	40	13	46		SO – SOLID COLOR	TN – TAN; YE – YELLOW	V – VINE	5 – POOR	3
PI 357947	15.36; 18.68; 7.6	7.6; 15.36; 18.68	OR – ORANGE	GL – GLOBE	4 – WARTY; 2 – RIBBED	5 – POOR	20			3	14	16	16		MO – MOTTLED; ST – STRIPED	GN – GREEN; YE – YELLOW	V – VINE	5 – POOR	2
PI 357948	12.86; 14.6; 12.6	12.6; 12.86; 14.6	YE – YELLOW	OV – OVATE; GL – GLOBE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	21			4	23	20	30		MO – MOTTLED; SO – SOLID COLOR	GN – GREEN; YE – YELLOW; TN – TAN	V – VINE	3 – MEDIUM	3
PI 357949	19.52; 16.37	16.37; 19.52	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	16			4	38	11	49		SO – SOLID COLOR	TN – TAN	V – VINE	2 – MEDIUM-GOOD	
PI 357950	11.27; 12; 15.75	11.27; 12; 15.75	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH		15			2	40	10	50		SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; TN – TAN; YE – YELLOW	V – VINE		
PI 357951	11.73	11.73	YE – YELLOW	OT – OBLATE	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	28			4		21	21		SP – SPECKLED	GN – GREEN	V – VINE	2 – MEDIUM-GOOD	3
PI 357952	11.52; 14.02; 13.71	11.52; 13.71; 14.02	YE – YELLOW	OB – OBOVATE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	14			4	25	10	47		SO – SOLID COLOR	TN – TAN	V – VINE	2 – MEDIUM-GOOD	2
PI 357953	21.57	17.63; 19.316; 21.57; 24.43	YE – YELLOW; OR – ORANGE	OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	21			3	19		25		SP – SPECKLED	GN – GREEN	V – VINE	3 – MEDIUM	2
PI 357954	11.44; 16; 13.86	11.44; 13.86; 16	OR – ORANGE	OG – OBLONG; GL – GLOBE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	19			3	24		30		SO – SOLID COLOR; MO – MOTTLED; ST – STRIPED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	2
PI 357955	13.33; 10.75	10.75; 13.33	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH		12			2	45	11	50		SO – SOLID COLOR	YE – YELLOW; TN – TAN	V – VINE		
PI 357956	16.62; 9.84; 10; 13.88; 15.53; 16.44; 14.89	9.84; 10; 13.88; 14.89; 15.53; 16.44; 16.62	YE – YELLOW	GL – GLOBE	2 – RIBBED	3 – MEDIUM	24			5	25	23	30		SO – SOLID COLOR; MO – MOTTLED	OR – ORANGE; CR – CREAM	V – VINE	3 – MEDIUM	3
PI 357957	19.04; 28	19.04; 28	OR – ORANGE	GL – GLOBE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	16			3			20		MO – MOTTLED; ST – STRIPED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 357958	22; 17.86; 19.41	17.86; 19.41; 22	OR – ORANGE	GL – GLOBE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	22			4			22		MO – MOTTLED	GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	3
PI 357960	16; 16.3; 15.63; 16.49	15.63; 16; 16.3; 16.49	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	1 – GOOD	13			3	31	11	38		SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; TN – TAN	V – VINE	1 – GOOD	
PI 357961	9.78; 14.66; 13.76; 15.21	9.78; 13.76; 14.66; 15.21	GN – GREEN	OG – OBLONG	1 – SMOOTH; 2 – RIBBED		15			2	42	11	55		ST – STRIPED; SO – SOLID COLOR	TN – TAN; GN – GREEN	S – SEMI-BUSH		
PI 357962	11.51; 11.12; 22.8; 9.92	9.92; 11.12; 11.51; 22.8	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	5 – POOR	13			3	41	10	63		SO – SOLID COLOR	TN – TAN	V – VINE	5 – POOR	
PI 357963	17.92; 18; 15.55	15.55; 17.92; 18	OR – ORANGE	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH		25			3	22	16	24		SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE		
PI 357964	13.1; 16	13.1; 16	OR – ORANGE	OG – OBLONG	4 – WARTY; 1 – SMOOTH; 2 – RIBBED	2 – MEDIUM-GOOD	17			4			45		SO – SOLID COLOR	GN – GREEN	V – VINE	2 – MEDIUM-GOOD	2
PI 357965	15.38; 11.62	11.62; 15.38		GL – GLOBE	4 – WARTY; 2 – RIBBED										SO – SOLID COLOR				
PI 357966	15.78; 16.09; 16.57; 14.17	14.17; 15.78; 16.09; 16.57	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	20			4	40	12	50		SO – SOLID COLOR	TN – TAN; YE – YELLOW	V – VINE	3 – MEDIUM	3
PI 357967	13.49; 14; 16.1	13.49; 14; 16.1	YE – YELLOW	OG – OBLONG	1 – SMOOTH; 2 – RIBBED	4 – MEDIUM-POOR	16			3	27		43		SO – SOLID COLOR	TN – TAN	V – VINE	4 – MEDIUM-POOR	
PI 357968	15.4; 16	15.4; 16	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH		12			2			50		SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH		
PI 357969	14.82; 17.52	14.82; 17.52	YE – YELLOW	OG – OBLONG	2 – RIBBED; 1 – SMOOTH		14			3	32	12	51		SO – SOLID COLOR	TN – TAN	S – SEMI-BUSH		2
PI 357970	20; 15.97; 23.43	15.97; 20; 23.43	YE – YELLOW	OT – OBLATE; OG – OBLONG	1 – SMOOTH; 2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	28			5	24	25	32		MO – MOTTLED; SO – SOLID COLOR	CR – CREAM; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	3
PI 357971	17.44; 16	16; 17.44	YE – YELLOW	OT – OBLATE; GL – GLOBE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	38			5	21	28	31		SP – SPECKLED	GN – GREEN; CR – CREAM	V – VINE	3 – MEDIUM	3
PI 357972	13.1; 12.15	12.15; 13.1	YE – YELLOW	OG – OBLONG; GL – GLOBE	2 – RIBBED; 1 – SMOOTH		12			2		10	30		SO – SOLID COLOR; MO – MOTTLED	GN – GREEN; OR – ORANGE; CR – CREAM	S – SEMI-BUSH		
PI 357973	9.44; 3.64	3.64; 9.44	YE – YELLOW	OB – OBOVATE	1 – SMOOTH		12			2			8		ST – STRIPED; MO – MOTTLED	GN – GREEN; OR – ORANGE			
PI 357974	7.16; 8; 11.28	7.16; 8; 11.28		OT – OBLATE; OG – OBLONG; SC – SCALLOPED	1 – SMOOTH; 2 – RIBBED		15				13	14	32		SO – SOLID COLOR	GN – GREEN; GY – GRAY; CR – CREAM; TN – TAN	V – VINE		
PI 364240	13.49; 9.65; 11.7	9.65; 11.7; 13.49	YE – YELLOW; OR – ORANGE	OB – OBOVATE	1 – SMOOTH; 2 – RIBBED	3 – MEDIUM	25			5	21	19	35		SO – SOLID COLOR; SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	4
PI 364241	12.08; 16	12.08; 16	YE – YELLOW	OB – OBOVATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	24			4		18	24		MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 368586	10.4; 11.41	10.4; 11.41	YE – YELLOW	GL – GLOBE	2 – RIBBED	2 – MEDIUM-GOOD	22			4	20	19	24		SO – SOLID COLOR	YE – YELLOW; TN – TAN; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	3
PI 368587	12.67	12.67	OR – ORANGE	OT – OBLATE; GL – GLOBE	2 – RIBBED	3 – MEDIUM	22			4	17	19	22		SP – SPECKLED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 368588	18.55; 12.8	12.8; 18.55	YE – YELLOW	GL – GLOBE	4 – WARTY; 2 – RIBBED	1 – GOOD	22			4			20		SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	1 – GOOD	3
PI 368589	15; 13.12; 21.3; 18.53	13.12; 15; 18.53; 21.3	YE – YELLOW	GL – GLOBE	2 – RIBBED	4 – MEDIUM-POOR	20			3	25		30		SO – SOLID COLOR	OR – ORANGE; TN – TAN; GN – GREEN	V – VINE	4 – MEDIUM-POOR	2
PI 368590	13.27; 10.76	10.76; 13.27	OR – ORANGE	OG – OBLONG	2 – RIBBED	3 – MEDIUM	15			4	25	12	30		MO – MOTTLED	GN – GREEN; TN – TAN; OR – ORANGE	V – VINE	3 – MEDIUM	3
PI 368591	13.58; 15.59	13.58; 15.59	CR – CREAM	OG – OBLONG	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	14			2		12	45		SO – SOLID COLOR	TN – TAN	V – VINE	3 – MEDIUM	
PI 368592	24.4; 16.49	16.49; 24.4	OR – ORANGE	OT – OBLATE; GL – GLOBE	2 – RIBBED	3 – MEDIUM	26			4	20	22	26		SP – SPECKLED; SO – SOLID COLOR	GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	3
PI 368593	16.1; 16.2; 13.94; 17.19; 16.52	13.94; 16.1; 16.2; 16.52; 17.19	OR – ORANGE	OV – OVATE	2 – RIBBED	2 – MEDIUM-GOOD	30			5	27	24	34		SP – SPECKLED	OR – ORANGE; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	4
PI 368594	25.9; 16.62; 18.29	16.62; 18.29; 25.9	OR – ORANGE	GL – GLOBE; OT – OBLATE	2 – RIBBED	3 – MEDIUM	30			3	18	21	40		SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	
PI 368595	16.92	16.92	OR – ORANGE	GL – GLOBE	2 – RIBBED; 4 – WARTY	3 – MEDIUM	20				15	16	20		SP – SPECKLED	GN – GREEN	V – VINE	3 – MEDIUM	
PI 368596	17.06; 21.36; 27.4	17.06; 19.2; 21.36; 27.4	OR – ORANGE; YE – YELLOW	GL – GLOBE	1 – SMOOTH	3 – MEDIUM	24			5			24		SO – SOLID COLOR	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	4
PI 368597	14.18; 12.68; 13.73	12.68; 12.97; 13.73; 14.18	OR – ORANGE; YE – YELLOW	OV – OVATE; GL – GLOBE	2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	21			4	21	20	26		MO – MOTTLED	YE – YELLOW; GN – GREEN; OR – ORANGE	V – VINE	2 – MEDIUM-GOOD	3
PI 368598	27.94; 17.94	17.94; 27.94	YE – YELLOW; OR – ORANGE	OT – OBLATE	4 – WARTY; 2 – RIBBED	4 – MEDIUM-POOR	44			4	26	38	36		MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	4 – MEDIUM-POOR	
PI 368599	14.48; 17	14.48; 17	YE – YELLOW	OG – OBLONG	2 – RIBBED	3 – MEDIUM	18			4	26	12	48		SO – SOLID COLOR	TN – TAN	V – VINE	3 – MEDIUM	3
PI 368600	19.96; 20.9	19.96; 20.9	OR – ORANGE	GL – GLOBE; OT – OBLATE	2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	22			4	15		27		SP – SPECKLED; MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 368601	20.83; 19.62; 21; 37.08; 23.26	19.62; 20.83; 21; 23.26; 37.08	OR – ORANGE	GL – GLOBE; OB – OBOVATE	4 – WARTY; 2 – RIBBED; 1 – SMOOTH	3 – MEDIUM	25			4	25	21	30		SP – SPECKLED	GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	3
PI 368602	22.81; 19; 27.8; 18.53; 20.52	18.53; 19; 20.52; 22.81; 27.8	OR – ORANGE	GL – GLOBE	2 – RIBBED	2 – MEDIUM-GOOD	24			4			25		SP – SPECKLED	GN – GREEN; TN – TAN	V – VINE	2 – MEDIUM-GOOD	3
PI 368603	21.8; 18.42; 20.35; 22.55	18.42; 20.35; 21.8; 22.55	OR – ORANGE	GL – GLOBE	2 – RIBBED	3 – MEDIUM	23			4	20	20	27		SP – SPECKLED	TN – TAN; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 368604	15.15; 22.36	15.15; 22.36	OR – ORANGE; YE – YELLOW	OG – OBLONG	2 – RIBBED	3 – MEDIUM	20			4	23	17	40		SP – SPECKLED; MO – MOTTLED	TN – TAN; GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	3
PI 368605	19.43; 18.84	18.84; 19.43	OR – ORANGE	OG – OBLONG	2 – RIBBED	2 – MEDIUM-GOOD	14			4	45	12	54		SO – SOLID COLOR	YE – YELLOW; TN – TAN; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	3
PI 368606	12.88; 14.48	12.88; 14.48	YE – YELLOW	GL – GLOBE	2 – RIBBED	4 – MEDIUM-POOR	25			4			25		MO – MOTTLED	GN – GREEN	V – VINE	4 – MEDIUM-POOR	
PI 368607	20.31; 12.62	12.62; 20.31	YE – YELLOW	GL – GLOBE	2 – RIBBED	3 – MEDIUM	20			4			22		MO – MOTTLED; ST – STRIPED	OR – ORANGE; YE – YELLOW; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 368608	19.24; 18.65	18.65; 19.24	OR – ORANGE	OV – OVATE; GL – GLOBE	2 – RIBBED	3 – MEDIUM	25			4	25	22	27		SP – SPECKLED	GN – GREEN; TN – TAN	V – VINE	3 – MEDIUM	3
PI 368609	24.52; 10.98; 14.05; 17.07	10.98; 14.05; 17.07; 24.52	YE – YELLOW	OV – OVATE	2 – RIBBED	3 – MEDIUM	25			4	28	18	40			OR – ORANGE; GN – GREEN; YE – YELLOW	V – VINE	3 – MEDIUM	3
PI 368610	25.76; 17.12	17.12; 25.76	YE – YELLOW; OR – ORANGE	OT – OBLATE; OV – OVATE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	20			3	18	16	25			GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	3
PI 368611	19.46; 13.24; 13.52	13.24; 13.52; 19.46	OR – ORANGE; YE – YELLOW	GL – GLOBE	2 – RIBBED; 4 – WARTY	3 – MEDIUM	20			4			20		SO – SOLID COLOR	YE – YELLOW; GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	2
PI 368612	28.34; 18.9; 20.68; 20.04; 20.95	18.9; 20.04; 20.68; 20.95; 28.34	OR – ORANGE	GL – GLOBE	2 – RIBBED	2 – MEDIUM-GOOD	17			3			15		ST – STRIPED; MO – MOTTLED	OR – ORANGE; GN – GREEN	V – VINE	2 – MEDIUM-GOOD	2
PI 368614	14.57; 15.32; 17.93; 24.25; 23.2	14.57; 15.32; 17.93; 23.2; 24.25	OR – ORANGE	OV – OVATE; GL – GLOBE	2 – RIBBED; 4 – WARTY	2 – MEDIUM-GOOD	26			4	24		32		MO – MOTTLED	GN – GREEN; OR – ORANGE	V – VINE	2 – MEDIUM-GOOD	3
PI 368615	13.35; 20.07; 15.82	13.35; 15.82; 20.07	YE – YELLOW; OR – ORANGE	GL – GLOBE	4 – WARTY; 2 – RIBBED	2 – MEDIUM-GOOD	25			4	19	17	23			GN – GREEN; TN – TAN	V – VINE	2 – MEDIUM-GOOD	3
PI 368616	9.56; 16.79; 21.3	9.56; 16.79; 21.3	OR – ORANGE; YE – YELLOW	GL – GLOBE	2 – RIBBED	3 – MEDIUM	23			4			23			TN – TAN; OR – ORANGE	V – VINE	3 – MEDIUM	3
PI 368617	7; 7.48	7; 7.48																	
PI 368619	11; 12.96	11; 12.96																	
PI 370462	21.28; 16	16; 21.28	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM	25			3		21	18			OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	
PI 370463	15.29	15.29	OR – ORANGE	GL – GLOBE	4 – WARTY; 2 – RIBBED	3 – MEDIUM	20			3	16		20			GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	2
PI 370464	16.25; 20.36	16.25; 20.36	OR – ORANGE	OV – OVATE	2 – RIBBED	3 – MEDIUM	25			4			30			TN – TAN; GN – GREEN	V – VINE	3 – MEDIUM	2
PI 370465	15.3; 16	15.3; 16	OR – ORANGE	GL – GLOBE	2 – RIBBED	3 – MEDIUM	20			3	14	15	20			OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	2
PI 370466	18.9; 19.29	18.9; 19.29	OR – ORANGE	OV – OVATE; GL – GLOBE	2 – RIBBED	3 – MEDIUM	25			3	25	16	28			GN – GREEN; OR – ORANGE; TN – TAN	V – VINE	3 – MEDIUM	2
PI 370467	16.02; 22.2	16.02; 22.2	OR – ORANGE	GL – GLOBE	2 – RIBBED	3 – MEDIUM	26			4	20	22	28			OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 379302	5.07; 14.93; 7.59	5.07; 7.59; 8.38; 14.93	1 – YELLOW																
PI 379306	12.25; 16.2; 17.01; 19.54	12.25; 16.2; 17.01; 19.54	YE – YELLOW; OR – ORANGE	OT – OBLATE	1 – SMOOTH; 2 – RIBBED	4 – MEDIUM-POOR	24			4	16	19	27		SO – SOLID COLOR; MO – MOTTLED	OR – ORANGE; YE – YELLOW; GN – GREEN	V – VINE; S – SEMI-BUSH	3 – MEDIUM	2
PI 379307	16.73; 19.9	16.73; 19.9	YE – YELLOW; OR – ORANGE	OT – OBLATE	1 – SMOOTH	3 – MEDIUM	15			4	49	11	63		MO – MOTTLED; SO – SOLID COLOR	CR – CREAM; YE – YELLOW; OR – ORANGE	S – SEMI-BUSH; V – VINE	3 – MEDIUM	2
PI 379308	15.24; 17.45	15.24; 17.45	OR – ORANGE	OT – OBLATE	2 – RIBBED	3 – MEDIUM	32			4	15	20	20			OR – ORANGE; GN – GREEN	V – VINE	3 – MEDIUM	3
PI 379309	19.04; 14.61; 18	14.61; 18; 19.04	YE – YELLOW	OV – OVATE; OT – OBLATE	2 – RIBBED	3 – MEDIUM	37			3	19	18	30			GN – GREEN; OR – ORANGE	V – VINE	3 – MEDIUM	2
PI 379310	18; 26	18; 26	OR – ORANGE; YE – YELLOW	GL – GLOBE; OV – OVATE; OT – OBLATE	2 – RIBBED	3 – MEDIUM	30			5	15	15	32		MO – MOTTLED	GN – GREEN	V – VINE	3 – MEDIUM	3
